player_id,player_name,player_position
1, Kareem Abdul-Jabbar ,C 
2, LeBron James ,SF 
3, Karl Malone ,PF 
4, Kobe Bryant ,SG 
5, Michael Jordan ,SG 
6, Dirk Nowitzki ,PF/C 
7, Wilt Chamberlain ,C 
8, Shaquille ONeal ,C 
9, Carmelo Anthony ,SF 
10, Moses Malone ,C 
11, Elvin Hayes ,PF/C 
12, Hakeem Olajuwon ,C 
13, Oscar Robertson ,PG 
14, Kevin Durant ,SF/PF 
15, Dominique Wilkins ,SF 
16, Tim Duncan ,PF/C 
17, Paul Pierce ,SF/SG 
18, John Havlicek ,SF/SG 
19, Kevin Garnett ,PF/C 
20, Vince Carter ,SG/SF 
21, Alex English ,SF 
22, Reggie Miller ,SG 
23, Jerry West ,PG/SG 
24, Patrick Ewing ,C 
25, Ray Allen ,SG 
26, Allen Iverson ,SG/PG 
27, James Harden ,SG/PG 
28, Russell Westbrook ,PG 
29, Charles Barkley ,PF 
30, Robert Parish ,C 
31, Adrian Dantley ,SF 
32, Dwyane Wade ,SG 
33, Elgin Baylor ,SF 
34, Clyde Drexler ,SG 
35, Gary Payton ,PG 
36, Larry Bird ,SF/PF 
37, Hal Greer ,SG/PG 
38, Chris Paul ,PG 
39, Walt Bellamy ,C 
40, DeMar DeRozan ,SG/SF 
41, Pau Gasol ,C/PF 
42, Bob Pettit ,PF/C 
43, Stephen Curry ,PG 
44, David Robinson ,C 
45, George Gervin ,SG/SF 
46, LaMarcus Aldridge ,PF/C 
47, Mitch Richmond ,SG 
48, Joe Johnson ,SG/SF 
49, Tom Chambers ,PF 
50, Antawn Jamison ,PF/SF 
