stat_id,player_id,total_games,total_points,field_goals
101,1,1560,38387,15837
102,2,1397,37965,13896
103,3,1476,36928,13528
104,4,1346,33643,11719
105,5,1072,32292,12192
106,6,1522,31560,11169
107,7,1045,31419,12681
108,8,1207,28596,11330
109,9,1260,28289,10119
110,10,1329,27409,9435
111,11,1303,27313,10976
112,12,1238,26946,10749
113,13,1040,26710,9508
114,14,978,26684,9126
115,15,1074,26668,9963
116,16,1392,26496,10285
117,17,1343,26397,8668
118,18,1270,26395,10513
119,19,1462,26071,10505
120,20,1541,25728,9293
121,21,1193,25613,10659
122,22,1389,25279,8241
123,23,932,25192,9016
124,24,1183,24815,9702
125,25,1300,24505,8567
126,26,914,24368,8467
127,27,966,24005,7080
128,28,1058,23845,8524
129,29,1073,23757,8435
130,30,1611,23334,9614
131,31,955,23177,8169
132,32,1054,23165,8454
133,33,846,23149,8693
134,34,1086,22195,8335
135,35,1335,21813,8708
136,36,897,21791,8591
137,37,1122,21586,8504
138,38,1181,21276,7512
139,39,1043,20941,7914
140,40,997,20925,7508
141,41,1226,20894,7980
142,42,792,20880,7349
143,43,852,20843,7137
144,44,987,20790,7365
145,45,791,20708,8045
146,46,1076,20558,8311
147,47,976,20497,7305
148,48,1277,20407,7823
149,49,1107,20049,7378
150,50,1083,20042,7679
