t_name,year_period,player_id
Milwaukee Bucks ,(1969–1975),1
Los Angeles Lakers ,(1975–1989),1
Cleveland Cavaliers,"(2003–2010, 2014–2018)",2
 Miami Heat ,(2010–2014),2
Los Angeles Lakers ,(2018–present),2
Utah Jazz  ,(1985–2003),3
Los Angeles Lakers ,(2003–2004),3
Los Angeles Lakers ,(1996–2016),4
Chicago Bulls ,"(1984–1993, 1995–1998)",5
Washington Wizards  ,(2001–2003),5
Dallas Mavericks ,(1998–2019),6
Philadelphia/San Francisco Warriors ,(1959–1965) ,7
Philadelphia 76ers ,(1965–1968) ,7
Los Angeles Lakers ,(1965–1973) ,7
